date,bdi,Mode00,Mode01,Mode02,Mode03,Mode04,Mode05,Mode06,Mode07,Mode08,Mode09,Mode10
2020/5/30,504.0,-1.3689767,1.9262073,-7.2768316,46.125355,-51.644814,-54.3044,-364.71472,-183.18755,160.55917,-120.93944,1073.6093
2020/5/31,504.0,2.7311144,10.540863,-4.482585,53.9735,-39.02283,-58.976276,-367.314,-176.21265,167.32472,-122.54718,1072.5311
2020/6/1,520.0,-7.8034625,-14.575601,-1.2258799,29.2277,-30.520205,-59.9274,-362.11685,-189.51926,164.77094,-125.44643,1082.4651
2020/6/2,546.0,-4.231741,-2.9328718,-11.280796,36.642128,-29.341557,-47.243305,-368.79,-185.9087,136.89859,-71.51846,1059.0531
2020/6/3,592.0,-3.2575023,8.637797,-1.7520276,37.696056,-16.691748,-58.64013,-361.66486,-186.01945,131.79803,-66.604836,1057.0874
2020/6/4,632.0,-3.1571708,7.8134437,21.195599,33.94821,-16.588081,-51.618916,-353.3448,-190.67473,170.78094,-134.683,1075.9762
2020/6/5,679.0,-6.3739777,18.748434,24.523008,28.883032,-4.840849,-48.982,-352.64853,-185.1522,166.54288,-130.25473,1068.9266
2020/6/6,679.0,-3.9052553,23.275177,47.805782,52.149864,11.476564,-48.38455,-354.43704,-183.82118,156.9397,-100.93126,1057.8884
2020/6/7,679.0,3.080512,22.661606,54.581383,66.20547,22.466415,-40.921883,-335.38492,-195.56921,163.88771,-126.16849,1065.7421
2020/6/8,698.0,-9.561873,0.9155207,45.706573,75.958694,30.091537,-43.9233,-346.84598,-187.29366,171.48221,-159.37941,1093.2444
2020/6/9,714.0,-7.541442,-8.469044,45.37878,76.907036,52.85188,-38.267387,-339.3346,-190.1951,142.0894,-95.08354,1062.1117
2020/6/10,764.0,-2.6638563,9.329045,9.772844,81.42044,65.691635,-25.905434,-323.68613,-204.05412,148.48697,-104.94031,1060.9818
2020/6/11,839.0,-8.318656,9.178443,24.559082,87.277596,73.27945,-27.820358,-316.7953,-207.67873,147.54738,-103.42369,1062.344
2020/6/12,923.0,-7.5325985,9.9759445,45.98666,92.47597,87.20698,-9.638355,-307.1798,-213.61047,154.64119,-121.55783,1061.1737
2020/6/13,923.0,-17.01073,37.99252,41.089386,103.12793,106.11032,-9.164271,-278.38736,-234.65817,123.8275,-101.01546,1075.1555
2020/6/14,923.0,-8.219856,33.36471,60.52046,113.146774,121.89752,12.248027,-266.3374,-229.96754,130.87328,-103.5278,1058.5997
2020/6/15,973.0,-4.5414433,10.386376,56.220024,124.296524,121.3684,32.925087,-248.81345,-230.35342,105.015015,-100.288635,1062.5723
2020/6/16,1054.0,-5.1791086,-0.042353317,66.27447,137.4913,135.00899,54.412548,-270.93088,-236.06001,125.263306,-124.99222,1071.9054
2020/6/17,1246.0,-3.2427907,11.0218315,53.251713,134.23326,158.31299,58.0318,-223.61963,-251.63728,85.85948,-79.53963,1068.0454
2020/6/18,1527.0,-13.844721,35.616947,57.845634,161.92241,167.9765,69.37699,-225.8718,-239.47888,124.16733,-116.72905,1064.0004
2020/6/19,1555.0,-19.109488,106.21487,119.71078,200.05774,202.99881,102.862404,-232.27087,-244.85954,94.31964,-60.879906,1047.3901
2020/6/20,1555.0,-17.607082,93.28249,166.1817,229.20206,233.64224,136.92075,-230.25409,-235.0544,102.15291,-94.301895,1063.497
2020/6/21,1555.0,8.145968,45.36925,193.8311,266.61966,255.70276,156.55066,-190.34573,-253.28157,98.17497,-70.12782,1053.3597
2020/6/22,1558.0,5.508082,-26.423729,159.4718,279.27914,299.28134,172.3545,-173.75931,-252.45033,128.99246,-126.54108,1078.7421
2020/6/23,1617.0,-3.0721495,-26.823835,98.253235,295.38507,321.80365,199.8962,-183.96031,-228.95282,112.767975,-84.26599,1055.0369
2020/6/24,1705.0,-4.309349,-19.893423,68.68903,309.04037,336.00275,224.60094,-193.51389,-219.63718,130.72443,-130.13924,1073.0094
2020/6/25,1738.0,-12.481188,16.328024,31.894825,320.92902,344.8214,241.72925,-188.17842,-217.41916,109.513016,-79.03468,1059.3688
2020/6/26,1749.0,-6.001607,29.813795,17.666407,312.53836,372.99637,250.90709,-124.84393,-250.45613,141.49684,-118.592804,1074.5917
2020/6/27,1749.0,-1.4893525,29.070066,24.23772,288.8749,396.784,280.7646,-150.01013,-218.15486,119.90866,-94.335236,1065.022
2020/6/28,1749.0,2.7752974,-6.890266,13.156413,264.37042,419.42896,298.06342,-121.20626,-231.61697,137.69345,-95.85414,1062.7461
2020/6/29,1794.0,-0.24394223,-3.1311169,-1.373784,245.73965,432.7246,296.42303,-101.799034,-215.9235,119.433304,-119.566956,1089.065
2020/6/30,1799.0,-5.193124,-1.9118347,-8.960065,224.15892,446.09854,322.88693,-116.94113,-195.78722,114.966995,-96.01703,1072.322
2020/7/1,1803.0,-4.01454,1.1263465,-14.706289,203.28976,453.5439,333.8921,-102.67111,-205.71487,117.492195,-91.40201,1077.006
2020/7/2,1823.0,-3.7562375,9.354889,5.88915,148.49722,468.594,348.8007,-91.131454,-198.71086,123.6798,-84.82944,1066.0873
2020/7/3,1894.0,-0.6992196,5.7172613,-0.75523615,140.8234,474.89066,357.9117,-79.92322,-191.8277,121.02869,-98.42352,1075.5883
2020/7/4,1894.0,-10.256506,7.8782725,9.5597925,93.78537,480.71527,374.20767,-48.176575,-207.18828,114.5746,-58.581367,1058.2799
2020/7/5,1894.0,-3.663826,19.215578,9.478389,106.591545,478.95367,385.6811,-58.886673,-190.24336,111.50064,-68.99908,1069.1779
2020/7/6,1956.0,-2.499329,4.7195077,15.234481,76.976875,489.60623,408.97192,-41.983192,-184.81837,132.3952,-107.814316,1084.3119
2020/7/7,1949.0,-8.5130415,-2.4657922,39.307972,59.68237,492.3898,404.10837,-30.858585,-185.93382,144.69785,-143.59561,1104.7054
2020/7/8,1849.0,-4.801937,1.0423877,20.734211,54.051304,478.35025,430.77673,-0.045806885,-194.69586,127.01842,-71.64876,1062.8903
2020/7/9,1810.0,12.7488985,-17.689325,36.441364,54.649494,468.50824,442.5811,22.205826,-196.1465,124.67646,-92.29642,1082.982
2020/7/10,1810.0,14.084363,-32.916664,-16.702547,4.132192,474.87378,459.0927,1.087265,-169.70496,138.09203,-109.45047,1085.8876
2020/7/11,1810.0,4.488229,-36.741035,-49.993725,-15.257698,468.80273,467.71124,17.978859,-173.9302,138.24167,-96.00487,1077.6398
2020/7/12,1810.0,1.7107449,-2.3904712,-41.32924,-39.204384,440.5198,479.44086,42.002563,-172.61807,136.20415,-120.99875,1092.9164
2020/7/13,1792.0,5.8234363,6.26422,-45.494728,-49.071804,435.5008,481.7928,32.82554,-173.36511,170.42877,-142.82393,1095.1133
2020/7/14,1742.0,7.345975,10.152649,-47.565094,-79.896164,405.55844,495.06284,64.17985,-170.91005,145.22726,-111.45053,1089.7067
2020/7/15,1696.0,4.341998,-5.9154205,-33.143726,-100.91447,361.72595,522.13025,64.64837,-155.04514,160.46732,-139.29666,1098.9022
2020/7/16,1699.0,2.7763312,-18.01436,-27.587385,-127.25068,343.17404,523.2321,77.21908,-152.34438,144.48132,-115.813416,1093.2668
2020/7/17,1710.0,0.36914712,-8.235342,-31.510305,-130.97029,313.83682,524.298,104.441,-167.19795,172.9128,-137.13354,1098.295
